home_team,away_team,home_play,second,home_score,away_play,half,away_score,minute
NOTRE DAME,YOUNGSTOWN STATE,,44,0,GOOD! 3 PTR by Cameron Morse,1,3,19
NOTRE DAME,YOUNGSTOWN STATE,,44,0,ASSIST by Bobby Hain,1,3,19
NOTRE DAME,YOUNGSTOWN STATE,TURNOVR by Steve Vasturia,26,0,,1,3,19
NOTRE DAME,YOUNGSTOWN STATE,,25,0,STEAL by Francisco Santiago,1,3,19
NOTRE DAME,YOUNGSTOWN STATE,,24,0,TURNOVR by Francisco Santiago,1,3,19
NOTRE DAME,YOUNGSTOWN STATE,STEAL by Zach Auguste,23,0,,1,3,19
NOTRE DAME,YOUNGSTOWN STATE,,23,0,FOUL by Francisco Santiago (P1T1),1,3,19
NOTRE DAME,YOUNGSTOWN STATE,MISSED JUMPER by Bonzie Colson,6,0,,1,3,19
NOTRE DAME,YOUNGSTOWN STATE,REBOUND (OFF) by Steve Vasturia,6,0,,1,3,19
NOTRE DAME,YOUNGSTOWN STATE,MISSED 3 PTR by V.J. Beachem,2,0,,1,3,19
NOTRE DAME,YOUNGSTOWN STATE,REBOUND (OFF) by Bonzie Colson,2,0,,1,3,19
NOTRE DAME,YOUNGSTOWN STATE,GOOD! LAYUP by Bonzie Colson [PNT],58,2,,1,3,18
NOTRE DAME,YOUNGSTOWN STATE,REBOUND (DEF) by (TEAM),47,2,MISSED JUMPER by Matt Donlan,1,3,18
NOTRE DAME,YOUNGSTOWN STATE,TURNOVR by Bonzie Colson,28,2,,1,3,18
NOTRE DAME,YOUNGSTOWN STATE,REBOUND (DEF) by Bonzie Colson,5,2,MISSED 3 PTR by Bobby Hain,1,3,18
NOTRE DAME,YOUNGSTOWN STATE,MISSED JUMPER by Demetrius Jackson,38,2,REBOUND (DEF) by Matt Donlan,1,3,17
NOTRE DAME,YOUNGSTOWN STATE,REBOUND (DEF) by Bonzie Colson,23,2,MISSED JUMPER by Francisco Santiago,1,3,17
NOTRE DAME,YOUNGSTOWN STATE,GOOD! 3 PTR by Demetrius Jackson,10,5,,1,3,17
NOTRE DAME,YOUNGSTOWN STATE,ASSIST by Steve Vasturia,10,5,,1,3,17
NOTRE DAME,YOUNGSTOWN STATE,,8,5,SUB IN : Bryce Nickels,1,3,17
NOTRE DAME,YOUNGSTOWN STATE,,8,5,SUB OUT: Bobby Hain,1,3,17
NOTRE DAME,YOUNGSTOWN STATE,,51,5,GOOD! JUMPER by Sidney Umude,1,5,16
NOTRE DAME,YOUNGSTOWN STATE,MISSED LAYUP by Steve Vasturia,37,5,REBOUND (DEF) by Sidney Umude,1,5,16
NOTRE DAME,YOUNGSTOWN STATE,,30,5,GOOD! JUMPER by Cameron Morse,1,7,16
NOTRE DAME,YOUNGSTOWN STATE,,30,5,ASSIST by Francisco Santiago,1,7,16
NOTRE DAME,YOUNGSTOWN STATE,TURNOVR by Demetrius Jackson,57,5,,1,7,15
NOTRE DAME,YOUNGSTOWN STATE,,56,5,STEAL by Francisco Santiago,1,7,15
NOTRE DAME,YOUNGSTOWN STATE,,54,5,GOOD! JUMPER by Sidney Umude,1,9,15
NOTRE DAME,YOUNGSTOWN STATE,,54,5,ASSIST by Francisco Santiago,1,9,15
NOTRE DAME,YOUNGSTOWN STATE,,29,5,FOUL by Bryce Nickels (P1T2),1,9,15
NOTRE DAME,YOUNGSTOWN STATE,TIMEOUT media,29,5,,1,9,15
NOTRE DAME,YOUNGSTOWN STATE,MISSED FT SHOT by Bonzie Colson,29,5,,1,9,15
NOTRE DAME,YOUNGSTOWN STATE,REBOUND (OFF) by (DEADBALL),29,5,,1,9,15
NOTRE DAME,YOUNGSTOWN STATE,MISSED FT SHOT by Bonzie Colson,29,5,,1,9,15
NOTRE DAME,YOUNGSTOWN STATE,REBOUND (OFF) by Bonzie Colson,29,5,,1,9,15
NOTRE DAME,YOUNGSTOWN STATE,GOOD! LAYUP by Bonzie Colson [PNT],27,7,,1,9,15
NOTRE DAME,YOUNGSTOWN STATE,BLOCK by Zach Auguste,11,7,MISSED LAYUP by Sidney Umude,1,9,15
NOTRE DAME,YOUNGSTOWN STATE,REBOUND (DEF) by Zach Auguste,9,7,,1,9,15
NOTRE DAME,YOUNGSTOWN STATE,GOOD! LAYUP by Bonzie Colson [PNT],3,9,,1,9,15
NOTRE DAME,YOUNGSTOWN STATE,ASSIST by Demetrius Jackson,3,9,,1,9,15
NOTRE DAME,YOUNGSTOWN STATE,,33,9,MISSED 3 PTR by Francisco Santiago,1,9,14
NOTRE DAME,YOUNGSTOWN STATE,,33,9,REBOUND (OFF) by Francisco Santiago,1,9,14
NOTRE DAME,YOUNGSTOWN STATE,BLOCK by Zach Auguste,23,9,MISSED LAYUP by Bryce Nickels,1,9,14
NOTRE DAME,YOUNGSTOWN STATE,REBOUND (DEF) by V.J. Beachem,22,9,,1,9,14
NOTRE DAME,YOUNGSTOWN STATE,MISSED 3 PTR by Steve Vasturia,10,9,REBOUND (DEF) by Sidney Umude,1,9,14
NOTRE DAME,YOUNGSTOWN STATE,,2,9,TURNOVR by Sidney Umude,1,9,14
NOTRE DAME,YOUNGSTOWN STATE,SUB IN : Matt Farrell,2,9,,1,9,14
NOTRE DAME,YOUNGSTOWN STATE,SUB IN : Matt Ryan,2,9,,1,9,14
NOTRE DAME,YOUNGSTOWN STATE,SUB OUT: Bonzie Colson,2,9,,1,9,14
NOTRE DAME,YOUNGSTOWN STATE,SUB OUT: Steve Vasturia,2,9,,1,9,14
NOTRE DAME,YOUNGSTOWN STATE,GOOD! 3 PTR by V.J. Beachem,34,12,,1,9,13
NOTRE DAME,YOUNGSTOWN STATE,ASSIST by Demetrius Jackson,34,12,,1,9,13
NOTRE DAME,YOUNGSTOWN STATE,,15,12,TURNOVR by Sidney Umude,1,9,13
NOTRE DAME,YOUNGSTOWN STATE,STEAL by Matt Farrell,13,12,,1,9,13
NOTRE DAME,YOUNGSTOWN STATE,GOOD! DUNK by Zach Auguste [PNT],11,14,,1,9,13
NOTRE DAME,YOUNGSTOWN STATE,ASSIST by Matt Farrell,11,14,,1,9,13
NOTRE DAME,YOUNGSTOWN STATE,,56,14,GOOD! LAYUP by Sidney Umude [PNT],1,11,12
NOTRE DAME,YOUNGSTOWN STATE,,56,14,ASSIST by Cameron Morse,1,11,12
NOTRE DAME,YOUNGSTOWN STATE,MISSED 3 PTR by Demetrius Jackson,28,14,REBOUND (DEF) by Cameron Morse,1,11,12
NOTRE DAME,YOUNGSTOWN STATE,FOUL by Zach Auguste (P1T1),17,14,MISSED FT SHOT by Bryce Nickels,1,11,12
NOTRE DAME,YOUNGSTOWN STATE,,17,14,REBOUND (OFF) by (DEADBALL),1,11,12
NOTRE DAME,YOUNGSTOWN STATE,REBOUND (DEF) by Bonzie Colson,17,14,MISSED FT SHOT by Bryce Nickels,1,11,12
NOTRE DAME,YOUNGSTOWN STATE,SUB IN : Bonzie Colson,17,14,SUB IN : Jordan Andrews,1,11,12
NOTRE DAME,YOUNGSTOWN STATE,SUB IN : Steve Vasturia,17,14,SUB OUT: Sidney Umude,1,11,12
NOTRE DAME,YOUNGSTOWN STATE,SUB OUT: Zach Auguste,17,14,,1,11,12
NOTRE DAME,YOUNGSTOWN STATE,SUB OUT: Matt Farrell,17,14,,1,11,12
NOTRE DAME,YOUNGSTOWN STATE,SUB OUT: V.J. Beachem,17,14,,1,11,12
NOTRE DAME,YOUNGSTOWN STATE,MISSED 3 PTR by Matt Ryan,57,14,REBOUND (DEF) by Matt Donlan,1,11,11
NOTRE DAME,YOUNGSTOWN STATE,REBOUND (DEF) by Matt Ryan,38,14,MISSED JUMPER by Bryce Nickels,1,11,11
NOTRE DAME,YOUNGSTOWN STATE,GOOD! JUMPER by V.J. Beachem [PNT],29,16,,1,11,11
NOTRE DAME,YOUNGSTOWN STATE,ASSIST by Steve Vasturia,29,16,,1,11,11
NOTRE DAME,YOUNGSTOWN STATE,,9,16,TURNOVR by Jordan Andrews,1,11,11
NOTRE DAME,YOUNGSTOWN STATE,STEAL by Demetrius Jackson,7,16,,1,11,11
NOTRE DAME,YOUNGSTOWN STATE,GOOD! DUNK by Demetrius Jackson [FB/PNT],5,18,,1,11,11
NOTRE DAME,YOUNGSTOWN STATE,,55,18,MISSED 3 PTR by Francisco Santiago,1,11,10
NOTRE DAME,YOUNGSTOWN STATE,,55,18,REBOUND (OFF) by Francisco Santiago,1,11,10
NOTRE DAME,YOUNGSTOWN STATE,,47,18,TIMEOUT 30sec,1,11,10
NOTRE DAME,YOUNGSTOWN STATE,SUB IN : Matt Farrell,47,18,SUB IN : Latin Davis,1,11,10
NOTRE DAME,YOUNGSTOWN STATE,SUB OUT: Demetrius Jackson,47,18,SUB OUT: Francisco Santiago,1,11,10
NOTRE DAME,YOUNGSTOWN STATE,,36,18,GOOD! JUMPER by Matt Donlan,1,13,10
NOTRE DAME,YOUNGSTOWN STATE,,36,18,ASSIST by Bryce Nickels,1,13,10
NOTRE DAME,YOUNGSTOWN STATE,GOOD! 3 PTR by V.J. Beachem,12,21,,1,13,10
NOTRE DAME,YOUNGSTOWN STATE,ASSIST by Steve Vasturia,12,21,,1,13,10
NOTRE DAME,YOUNGSTOWN STATE,,44,21,GOOD! JUMPER by Cameron Morse [PNT],1,15,9
NOTRE DAME,YOUNGSTOWN STATE,MISSED 3 PTR by Matt Ryan,35,21,REBOUND (DEF) by Jordan Andrews,1,15,9
NOTRE DAME,YOUNGSTOWN STATE,,11,21,GOOD! 3 PTR by Jordan Andrews,1,18,9
NOTRE DAME,YOUNGSTOWN STATE,,11,21,ASSIST by Cameron Morse,1,18,9
NOTRE DAME,YOUNGSTOWN STATE,GOOD! LAYUP by Matt Ryan [PNT],55,23,,1,18,8
NOTRE DAME,YOUNGSTOWN STATE,ASSIST by Matt Farrell,55,23,,1,18,8
