home_team,away_team,home_play,second,home_score,away_play,half,away_score,minute
NOTRE DAME,WAKE FOREST,REBOUND (DEF) by A.J. Burgett,31,0,MISSED JUMPER by Codi Miller-McIntyre,1,0,19
NOTRE DAME,WAKE FOREST,GOOD! LAYUP by V.J. Beachem [PNT],18,2,,1,0,19
NOTRE DAME,WAKE FOREST,FOUL by A.J. Burgett (P1T1),1,2,,1,0,19
NOTRE DAME,WAKE FOREST,REBOUND (DEF) by A.J. Burgett,58,2,MISSED JUMPER by Codi Miller-McIntyre,1,0,18
NOTRE DAME,WAKE FOREST,GOOD! 3 PTR by A.J. Burgett,37,5,,1,0,18
NOTRE DAME,WAKE FOREST,ASSIST by Demetrius Jackson,37,5,,1,0,18
NOTRE DAME,WAKE FOREST,BLOCK by V.J. Beachem,19,5,MISSED LAYUP by Devin Thomas,1,0,18
NOTRE DAME,WAKE FOREST,REBOUND (DEF) by Steve Vasturia,17,5,,1,0,18
NOTRE DAME,WAKE FOREST,MISSED 3 PTR by V.J. Beachem,13,5,REBOUND (DEF) by Dinos Mitoglou,1,0,18
NOTRE DAME,WAKE FOREST,,58,5,TURNOVR by Devin Thomas,1,0,17
NOTRE DAME,WAKE FOREST,GOOD! LAYUP by Steve Vasturia [PNT],42,7,,1,0,17
NOTRE DAME,WAKE FOREST,REBOUND (DEF) by Demetrius Jackson,16,7,MISSED 3 PTR by Bryant Crawford,1,0,17
NOTRE DAME,WAKE FOREST,TURNOVR by Demetrius Jackson,53,7,,1,0,16
NOTRE DAME,WAKE FOREST,,44,7,GOOD! 3 PTR by Bryant Crawford,1,3,16
NOTRE DAME,WAKE FOREST,MISSED 3 PTR by Demetrius Jackson,17,7,REBOUND (DEF) by Devin Thomas,1,3,16
NOTRE DAME,WAKE FOREST,,11,7,MISSED LAYUP by Bryant Crawford,1,3,16
NOTRE DAME,WAKE FOREST,,11,7,REBOUND (OFF) by Codi Miller-McIntyre,1,3,16
NOTRE DAME,WAKE FOREST,REBOUND (DEF) by Zach Auguste,7,7,MISSED 3 PTR by Bryant Crawford,1,3,16
NOTRE DAME,WAKE FOREST,MISSED 3 PTR by Steve Vasturia,49,7,,1,3,15
NOTRE DAME,WAKE FOREST,REBOUND (OFF) by Zach Auguste,49,7,,1,3,15
NOTRE DAME,WAKE FOREST,TURNOVR by Zach Auguste,44,7,,1,3,15
NOTRE DAME,WAKE FOREST,,44,7,TIMEOUT MEDIA,1,3,15
NOTRE DAME,WAKE FOREST,FOUL by V.J. Beachem (P1T2),34,7,GOOD! FT SHOT by Devin Thomas,1,4,15
NOTRE DAME,WAKE FOREST,REBOUND (DEF) by Bonzie Colson,34,7,MISSED FT SHOT by Devin Thomas,1,4,15
NOTRE DAME,WAKE FOREST,SUB IN : Bonzie Colson,34,7,,1,4,15
NOTRE DAME,WAKE FOREST,SUB OUT: A.J. Burgett,34,7,,1,4,15
NOTRE DAME,WAKE FOREST,GOOD! 3 PTR by Demetrius Jackson,8,10,,1,4,15
NOTRE DAME,WAKE FOREST,,38,10,MISSED 3 PTR by Dinos Mitoglou,1,4,14
NOTRE DAME,WAKE FOREST,,38,10,REBOUND (OFF) by Mitchell Wilbekin,1,4,14
NOTRE DAME,WAKE FOREST,,29,10,GOOD! LAYUP by Devin Thomas [PNT],1,6,14
NOTRE DAME,WAKE FOREST,MISSED JUMPER by Steve Vasturia,57,10,REBOUND (DEF) by Mitchell Wilbekin,1,6,13
NOTRE DAME,WAKE FOREST,,49,10,GOOD! LAYUP by Bryant Crawford [FB/PNT],1,8,13
NOTRE DAME,WAKE FOREST,,49,10,ASSIST by Codi Miller-McIntyre,1,8,13
NOTRE DAME,WAKE FOREST,TURNOVR by V.J. Beachem,40,10,,1,8,13
NOTRE DAME,WAKE FOREST,SUB IN : Rex Pflueger,40,10,SUB IN : John Collins,1,8,13
NOTRE DAME,WAKE FOREST,SUB OUT: V.J. Beachem,40,10,SUB OUT: Dinos Mitoglou,1,8,13
NOTRE DAME,WAKE FOREST,,28,10,TURNOVR by Codi Miller-McIntyre,1,8,13
NOTRE DAME,WAKE FOREST,STEAL by Demetrius Jackson,27,10,,1,8,13
NOTRE DAME,WAKE FOREST,GOOD! LAYUP by Rex Pflueger [PNT],24,12,,1,8,13
NOTRE DAME,WAKE FOREST,GOOD! FT SHOT by Rex Pflueger,24,13,FOUL by Mitchell Wilbekin (P1T1),1,8,13
NOTRE DAME,WAKE FOREST,,24,13,SUB IN : Rondale Watson,1,8,13
NOTRE DAME,WAKE FOREST,,24,13,SUB OUT: Codi Miller-McIntyre,1,8,13
NOTRE DAME,WAKE FOREST,FOUL by Bonzie Colson (P1T3),18,13,GOOD! FT SHOT by Bryant Crawford,1,9,13
NOTRE DAME,WAKE FOREST,,18,13,GOOD! FT SHOT by Bryant Crawford,1,10,13
NOTRE DAME,WAKE FOREST,SUB IN : A.J. Burgett,18,13,SUB IN : Cornelius Hudson,1,10,13
NOTRE DAME,WAKE FOREST,SUB OUT: Zach Auguste,18,13,SUB OUT: Mitchell Wilbekin,1,10,13
NOTRE DAME,WAKE FOREST,,5,13,FOUL by Devin Thomas (P1T2),1,10,13
NOTRE DAME,WAKE FOREST,GOOD! 3 PTR by A.J. Burgett,54,16,,1,10,12
NOTRE DAME,WAKE FOREST,ASSIST by Demetrius Jackson,54,16,,1,10,12
NOTRE DAME,WAKE FOREST,,38,16,GOOD! 3 PTR by Bryant Crawford,1,13,12
NOTRE DAME,WAKE FOREST,,38,16,ASSIST by Cornelius Hudson,1,13,12
NOTRE DAME,WAKE FOREST,,24,16,FOUL by John Collins (P1T3),1,13,12
NOTRE DAME,WAKE FOREST,SUB IN : V.J. Beachem,24,16,,1,13,12
NOTRE DAME,WAKE FOREST,SUB OUT: Demetrius Jackson,24,16,,1,13,12
NOTRE DAME,WAKE FOREST,GOOD! JUMPER by Bonzie Colson,2,18,,1,13,12
NOTRE DAME,WAKE FOREST,REBOUND (DEF) by Bonzie Colson,45,18,MISSED JUMPER by John Collins,1,13,11
NOTRE DAME,WAKE FOREST,TIMEOUT MEDIA,45,18,,1,13,11
NOTRE DAME,WAKE FOREST,SUB IN : Demetrius Jackson,45,18,SUB IN : Codi Miller-McIntyre,1,13,11
NOTRE DAME,WAKE FOREST,SUB OUT: Steve Vasturia,45,18,SUB OUT: Bryant Crawford,1,13,11
NOTRE DAME,WAKE FOREST,TURNOVR by Bonzie Colson,19,18,,1,13,11
NOTRE DAME,WAKE FOREST,,18,18,STEAL by Cornelius Hudson,1,13,11
NOTRE DAME,WAKE FOREST,,2,18,MISSED 3 PTR by Codi Miller-McIntyre,1,13,11
