home_team,away_team,home_play,second,home_score,away_play,half,away_score,minute
NOTRE DAME,LIBERTY,,45,0,TURNOVR by Evan Maxwell,1,0,19
NOTRE DAME,LIBERTY,TURNOVR by Steve Vasturia,20,0,,1,0,19
NOTRE DAME,LIBERTY,,19,0,STEAL by Lovell Cabbil,1,0,19
NOTRE DAME,LIBERTY,,16,0,GOOD! LAYUP by Lovell Cabbil [PNT],1,2,19
NOTRE DAME,LIBERTY,GOOD! LAYUP by Zach Auguste [PNT],4,2,,1,2,19
NOTRE DAME,LIBERTY,ASSIST by V.J. Beachem,4,2,,1,2,19
NOTRE DAME,LIBERTY,,33,2,GOOD! JUMPER by Evan Maxwell [PNT],1,4,18
NOTRE DAME,LIBERTY,MISSED 3 PTR by V.J. Beachem,10,2,REBOUND (DEF) by Ryan Kemrite,1,4,18
NOTRE DAME,LIBERTY,,50,2,FOUL by John Dawson (P1T1),1,4,17
NOTRE DAME,LIBERTY,,50,2,TURNOVR by John Dawson,1,4,17
NOTRE DAME,LIBERTY,MISSED 3 PTR by Demetrius Jackson,20,2,,1,4,17
NOTRE DAME,LIBERTY,REBOUND (OFF) by Zach Auguste,20,2,,1,4,17
NOTRE DAME,LIBERTY,GOOD! LAYUP by Zach Auguste [PNT],14,4,,1,4,17
NOTRE DAME,LIBERTY,,45,4,TURNOVR by Evan Maxwell,1,4,16
NOTRE DAME,LIBERTY,MISSED JUMPER by Zach Auguste,31,4,REBOUND (DEF) by John Dawson,1,4,16
NOTRE DAME,LIBERTY,,20,4,TURNOVR by John Dawson,1,4,16
NOTRE DAME,LIBERTY,STEAL by Bonzie Colson,19,4,,1,4,16
NOTRE DAME,LIBERTY,TURNOVR by Steve Vasturia,13,4,,1,4,16
NOTRE DAME,LIBERTY,,12,4,STEAL by Ryan Hiepler,1,4,16
NOTRE DAME,LIBERTY,REBOUND (DEF) by Demetrius Jackson,2,4,MISSED JUMPER by Evan Maxwell,1,4,16
NOTRE DAME,LIBERTY,,54,4,FOUL by Ryan Hiepler (P1T2),1,4,15
NOTRE DAME,LIBERTY,TIMEOUT MEDIA,54,4,,1,4,15
NOTRE DAME,LIBERTY,GOOD! FT SHOT by Demetrius Jackson,54,5,,1,4,15
NOTRE DAME,LIBERTY,MISSED FT SHOT by Demetrius Jackson,54,5,REBOUND (DEF) by John Dawson,1,4,15
NOTRE DAME,LIBERTY,,35,5,GOOD! JUMPER by Lovell Cabbil,1,6,15
NOTRE DAME,LIBERTY,TURNOVR by Zach Auguste,20,5,,1,6,15
NOTRE DAME,LIBERTY,FOUL by Bonzie Colson (P1T1),58,5,,1,6,14
NOTRE DAME,LIBERTY,SUB IN : Matt Ryan,58,5,,1,6,14
NOTRE DAME,LIBERTY,SUB OUT: Bonzie Colson,58,5,,1,6,14
NOTRE DAME,LIBERTY,REBOUND (DEF) by Demetrius Jackson,49,5,MISSED 3 PTR by Ryan Kemrite,1,6,14
NOTRE DAME,LIBERTY,GOOD! JUMPER by Steve Vasturia,39,7,,1,6,14
NOTRE DAME,LIBERTY,REBOUND (DEF) by V.J. Beachem,18,7,MISSED JUMPER by Evan Maxwell,1,6,14
NOTRE DAME,LIBERTY,,17,7,FOUL by Evan Maxwell (P1T3),1,6,14
NOTRE DAME,LIBERTY,,17,7,SUB IN : Ezra Talbert,1,6,14
NOTRE DAME,LIBERTY,,17,7,SUB IN : A.C. Reid,1,6,14
NOTRE DAME,LIBERTY,,17,7,SUB OUT: Evan Maxwell,1,6,14
NOTRE DAME,LIBERTY,,17,7,SUB OUT: Ryan Hiepler,1,6,14
NOTRE DAME,LIBERTY,MISSED 3 PTR by Matt Ryan,1,7,,1,6,14
NOTRE DAME,LIBERTY,REBOUND (OFF) by Zach Auguste,1,7,,1,6,14
NOTRE DAME,LIBERTY,,59,7,FOUL by Ezra Talbert (P1T4),1,6,13
NOTRE DAME,LIBERTY,,50,7,FOUL by Ezra Talbert (P2T5),1,6,13
NOTRE DAME,LIBERTY,SUB IN : Matt Farrell,50,7,,1,6,13
NOTRE DAME,LIBERTY,SUB OUT: V.J. Beachem,50,7,,1,6,13
NOTRE DAME,LIBERTY,MISSED 3 PTR by Steve Vasturia,32,7,,1,6,13
NOTRE DAME,LIBERTY,REBOUND (OFF) by (TEAM),32,7,,1,6,13
NOTRE DAME,LIBERTY,GOOD! LAYUP by Zach Auguste [PNT],21,9,,1,6,13
NOTRE DAME,LIBERTY,,5,9,GOOD! JUMPER by John Dawson [PNT],1,8,13
NOTRE DAME,LIBERTY,SUB IN : Bonzie Colson,47,9,SUB IN : Anthony Fields,1,8,12
NOTRE DAME,LIBERTY,SUB OUT: Zach Auguste,47,9,SUB IN : Caleb Homesley,1,8,12
NOTRE DAME,LIBERTY,,47,9,SUB OUT: Lovell Cabbil,1,8,12
NOTRE DAME,LIBERTY,,47,9,SUB OUT: Ezra Talbert,1,8,12
NOTRE DAME,LIBERTY,GOOD! 3 PTR by Matt Farrell,39,12,,1,8,12
NOTRE DAME,LIBERTY,ASSIST by Matt Ryan,39,12,,1,8,12
NOTRE DAME,LIBERTY,REBOUND (DEF) by Matt Ryan,9,12,MISSED 3 PTR by A.C. Reid,1,8,12
NOTRE DAME,LIBERTY,MISSED 3 PTR by Matt Ryan,55,12,REBOUND (DEF) by Ryan Kemrite,1,8,11
NOTRE DAME,LIBERTY,FOUL by Steve Vasturia (P1T2),31,12,,1,8,11
NOTRE DAME,LIBERTY,,31,12,TIMEOUT MEDIA,1,8,11
NOTRE DAME,LIBERTY,,31,12,GOOD! FT SHOT by Ryan Kemrite,1,9,11
NOTRE DAME,LIBERTY,,31,12,GOOD! FT SHOT by Ryan Kemrite,1,10,11
NOTRE DAME,LIBERTY,SUB IN : V.J. Beachem,31,12,SUB IN : Lovell Cabbil,1,10,11
NOTRE DAME,LIBERTY,SUB OUT: Demetrius Jackson,31,12,SUB OUT: John Dawson,1,10,11
NOTRE DAME,LIBERTY,SUB IN : Zach Auguste,30,12,SUB IN : John Dawson,1,10,11
NOTRE DAME,LIBERTY,SUB OUT: Steve Vasturia,30,12,SUB IN : Evan Maxwell,1,10,11
NOTRE DAME,LIBERTY,,30,12,SUB OUT: Lovell Cabbil,1,10,11
NOTRE DAME,LIBERTY,,30,12,SUB OUT: Ryan Kemrite,1,10,11
NOTRE DAME,LIBERTY,REBOUND (DEF) by Bonzie Colson,20,12,MISSED LAYUP by John Dawson,1,10,11
NOTRE DAME,LIBERTY,GOOD! 3 PTR by Matt Ryan,56,15,,1,10,10
NOTRE DAME,LIBERTY,ASSIST by Matt Farrell,56,15,,1,10,10
NOTRE DAME,LIBERTY,REBOUND (DEF) by Zach Auguste,30,15,MISSED LAYUP by Caleb Homesley,1,10,10
NOTRE DAME,LIBERTY,TURNOVR by Matt Farrell,18,15,,1,10,10
NOTRE DAME,LIBERTY,SUB IN : Demetrius Jackson,18,15,SUB IN : Ryan Hiepler,1,10,10
NOTRE DAME,LIBERTY,SUB OUT: Matt Farrell,18,15,SUB OUT: A.C. Reid,1,10,10
NOTRE DAME,LIBERTY,,6,15,TURNOVR by John Dawson,1,10,10
NOTRE DAME,LIBERTY,STEAL by Bonzie Colson,4,15,,1,10,10
NOTRE DAME,LIBERTY,TURNOVR by Zach Auguste,48,15,,1,10,9
NOTRE DAME,LIBERTY,,47,15,STEAL by Caleb Homesley,1,10,9
NOTRE DAME,LIBERTY,REBOUND (DEF) by Zach Auguste,34,15,MISSED LAYUP by Evan Maxwell,1,10,9
NOTRE DAME,LIBERTY,MISSED 3 PTR by Matt Ryan,26,15,REBOUND (DEF) by Caleb Homesley,1,10,9
NOTRE DAME,LIBERTY,REBOUND (DEF) by Bonzie Colson,6,15,MISSED JUMPER by Evan Maxwell,1,10,9
NOTRE DAME,LIBERTY,MISSED FT SHOT by Zach Auguste,56,15,FOUL by John Dawson (P2T6),1,10,8
NOTRE DAME,LIBERTY,REBOUND (OFF) by (DEADBALL),56,15,,1,10,8
NOTRE DAME,LIBERTY,GOOD! FT SHOT by Zach Auguste,56,16,,1,10,8
NOTRE DAME,LIBERTY,SUB IN : Steve Vasturia,56,16,SUB IN : Ryan Kemrite,1,10,8
NOTRE DAME,LIBERTY,SUB OUT: Matt Ryan,56,16,SUB IN : Lovell Cabbil,1,10,8
NOTRE DAME,LIBERTY,,56,16,SUB OUT: Evan Maxwell,1,10,8
NOTRE DAME,LIBERTY,,56,16,SUB OUT: Anthony Fields,1,10,8
NOTRE DAME,LIBERTY,,42,16,GOOD! 3 PTR by Ryan Kemrite,1,13,8
NOTRE DAME,LIBERTY,,42,16,ASSIST by Lovell Cabbil,1,13,8
NOTRE DAME,LIBERTY,GOOD! 3 PTR by Steve Vasturia,19,19,,1,13,8
NOTRE DAME,LIBERTY,ASSIST by V.J. Beachem,19,19,,1,13,8
NOTRE DAME,LIBERTY,,5,19,MISSED JUMPER by Caleb Homesley,1,13,8
NOTRE DAME,LIBERTY,,5,19,REBOUND (OFF) by Caleb Homesley,1,13,8
NOTRE DAME,LIBERTY,,2,19,GOOD! JUMPER by Caleb Homesley [PNT],1,15,8
NOTRE DAME,LIBERTY,GOOD! LAYUP by Bonzie Colson [PNT],42,21,,1,15,7
NOTRE DAME,LIBERTY,REBOUND (DEF) by (TEAM),26,21,MISSED LAYUP by Caleb Homesley,1,15,7
NOTRE DAME,LIBERTY,TIMEOUT MEDIA,24,21,,1,15,7
NOTRE DAME,LIBERTY,SUB IN : Matt Ryan,24,21,SUB IN : A.C. Reid,1,15,7
NOTRE DAME,LIBERTY,SUB IN : Austin Torres,24,21,SUB OUT: John Dawson,1,15,7
NOTRE DAME,LIBERTY,SUB OUT: Bonzie Colson,24,21,,1,15,7
NOTRE DAME,LIBERTY,SUB OUT: Zach Auguste,24,21,,1,15,7
NOTRE DAME,LIBERTY,MISSED 3 PTR by V.J. Beachem,1,21,,1,15,7
NOTRE DAME,LIBERTY,REBOUND (OFF) by Austin Torres,1,21,,1,15,7
NOTRE DAME,LIBERTY,GOOD! LAYUP by Austin Torres [PNT],58,23,,1,15,6
NOTRE DAME,LIBERTY,MISSED FT SHOT by Austin Torres,58,23,FOUL by Caleb Homesley (P1T7),1,15,6
NOTRE DAME,LIBERTY,,58,23,REBOUND (DEF) by Ryan Kemrite,1,15,6
NOTRE DAME,LIBERTY,SUB IN : Matt Farrell,58,23,SUB IN : Evan Maxwell,1,15,6
NOTRE DAME,LIBERTY,SUB OUT: V.J. Beachem,58,23,SUB OUT: Caleb Homesley,1,15,6
NOTRE DAME,LIBERTY,,32,23,MISSED 3 PTR by A.C. Reid,1,15,6
NOTRE DAME,LIBERTY,,32,23,REBOUND (OFF) by Evan Maxwell,1,15,6
NOTRE DAME,LIBERTY,,6,23,MISSED JUMPER by Evan Maxwell,1,15,6
NOTRE DAME,LIBERTY,,6,23,REBOUND (OFF) by Evan Maxwell,1,15,6
NOTRE DAME,LIBERTY,,2,23,MISSED LAYUP by Evan Maxwell,1,15,6
NOTRE DAME,LIBERTY,,2,23,REBOUND (OFF) by Ryan Kemrite,1,15,6
NOTRE DAME,LIBERTY,FOUL by Austin Torres (P1T3),0,23,GOOD! FT SHOT by Ryan Kemrite,1,16,6
NOTRE DAME,LIBERTY,,0,23,GOOD! FT SHOT by Ryan Kemrite,1,17,6
NOTRE DAME,LIBERTY,GOOD! LAYUP by Demetrius Jackson [PNT],43,25,,1,17,5
NOTRE DAME,LIBERTY,GOOD! FT SHOT by Demetrius Jackson,43,26,FOUL by Lovell Cabbil (P1T8),1,17,5
NOTRE DAME,LIBERTY,SUB IN : Zach Auguste,43,26,SUB IN : Anthony Fields,1,17,5
NOTRE DAME,LIBERTY,SUB IN : V.J. Beachem,43,26,SUB OUT: A.C. Reid,1,17,5
NOTRE DAME,LIBERTY,SUB IN : Bonzie Colson,43,26,,1,17,5
NOTRE DAME,LIBERTY,SUB OUT: Matt Ryan,43,26,,1,17,5
NOTRE DAME,LIBERTY,SUB OUT: Austin Torres,43,26,,1,17,5
NOTRE DAME,LIBERTY,SUB OUT: Matt Farrell,43,26,,1,17,5
NOTRE DAME,LIBERTY,BLOCK by Demetrius Jackson,17,26,MISSED 3 PTR by Ryan Kemrite,1,17,5
NOTRE DAME,LIBERTY,REBOUND (DEF) by Zach Auguste,14,26,,1,17,5
NOTRE DAME,LIBERTY,MISSED JUMPER by Demetrius Jackson,7,26,REBOUND (DEF) by Evan Maxwell,1,17,5
NOTRE DAME,LIBERTY,STEAL by Demetrius Jackson,43,26,TURNOVR by Ryan Hiepler,1,17,4
NOTRE DAME,LIBERTY,GOOD! LAYUP by Steve Vasturia [FB/PNT],41,28,,1,17,4
NOTRE DAME,LIBERTY,ASSIST by Demetrius Jackson,41,28,,1,17,4
NOTRE DAME,LIBERTY,MISSED FT SHOT by Steve Vasturia,41,28,FOUL by Ryan Hiepler (P2T9),1,17,4
NOTRE DAME,LIBERTY,,41,28,REBOUND (DEF) by Ryan Kemrite,1,17,4
NOTRE DAME,LIBERTY,REBOUND (DEF) by Zach Auguste,13,28,MISSED JUMPER by Lovell Cabbil,1,17,4
NOTRE DAME,LIBERTY,,48,28,FOUL by Lovell Cabbil (P2T10),1,17,3
NOTRE DAME,LIBERTY,TIMEOUT MEDIA,48,28,,1,17,3
NOTRE DAME,LIBERTY,GOOD! FT SHOT by Steve Vasturia,48,29,,1,17,3
NOTRE DAME,LIBERTY,GOOD! FT SHOT by Steve Vasturia,48,30,,1,17,3
NOTRE DAME,LIBERTY,,48,30,SUB IN : A.C. Reid,1,17,3
NOTRE DAME,LIBERTY,,48,30,SUB OUT: Lovell Cabbil,1,17,3
NOTRE DAME,LIBERTY,,21,30,GOOD! DUNK by Evan Maxwell [PNT],1,19,3
NOTRE DAME,LIBERTY,,21,30,ASSIST by Ryan Kemrite,1,19,3
NOTRE DAME,LIBERTY,TURNOVR by Zach Auguste,14,30,,1,19,3
NOTRE DAME,LIBERTY,,14,30,SUB IN : Caleb Homesley,1,19,3
NOTRE DAME,LIBERTY,,14,30,SUB OUT: Ryan Hiepler,1,19,3
NOTRE DAME,LIBERTY,REBOUND (DEF) by Steve Vasturia,48,30,MISSED 3 PTR by Ryan Kemrite,1,19,2
NOTRE DAME,LIBERTY,MISSED 3 PTR by Steve Vasturia,38,30,REBOUND (DEF) by A.C. Reid,1,19,2
NOTRE DAME,LIBERTY,,26,30,GOOD! JUMPER by Caleb Homesley [PNT],1,21,2
NOTRE DAME,LIBERTY,,26,30,ASSIST by A.C. Reid,1,21,2
NOTRE DAME,LIBERTY,MISSED LAYUP by Demetrius Jackson,9,30,REBOUND (DEF) by Evan Maxwell,1,21,2
NOTRE DAME,LIBERTY,,54,30,TURNOVR by Anthony Fields,1,21,1
NOTRE DAME,LIBERTY,STEAL by V.J. Beachem,53,30,,1,21,1
NOTRE DAME,LIBERTY,SUB IN : Matt Farrell,52,30,,1,21,1
NOTRE DAME,LIBERTY,SUB IN : Matt Ryan,52,30,,1,21,1
NOTRE DAME,LIBERTY,SUB OUT: Steve Vasturia,52,30,,1,21,1
NOTRE DAME,LIBERTY,SUB OUT: V.J. Beachem,52,30,,1,21,1
NOTRE DAME,LIBERTY,MISSED 3 PTR by Demetrius Jackson,30,30,,1,21,1
