home_team,away_team,home_play,second,home_score,away_play,half,away_score,minute
NOTRE DAME,GEORGIA TECH,,36,0,MISSED 3 PTR by Adam Smith,1,0,19
NOTRE DAME,GEORGIA TECH,,36,0,REBOUND (OFF) by Quinton Stephens,1,0,19
NOTRE DAME,GEORGIA TECH,REBOUND (DEF) by Zach Auguste,28,0,MISSED TIP-IN by Quinton Stephens,1,0,19
NOTRE DAME,GEORGIA TECH,,24,0,FOUL by James White (P1T1),1,0,19
NOTRE DAME,GEORGIA TECH,MISSED LAYUP by Zach Auguste,18,0,REBOUND (DEF) by Charles Mitchell,1,0,19
NOTRE DAME,GEORGIA TECH,REBOUND (DEF) by Demetrius Jackson,0,0,MISSED 3 PTR by Marcus Georges-Hunt,1,0,19
NOTRE DAME,GEORGIA TECH,GOOD! LAYUP by Steve Vasturia [FB/PNT],53,2,,1,0,18
NOTRE DAME,GEORGIA TECH,ASSIST by Demetrius Jackson,53,2,,1,0,18
NOTRE DAME,GEORGIA TECH,,47,2,GOOD! JUMPER by Marcus Georges-Hunt,1,2,18
NOTRE DAME,GEORGIA TECH,MISSED 3 PTR by Demetrius Jackson,24,2,REBOUND (DEF) by Charles Mitchell,1,2,18
NOTRE DAME,GEORGIA TECH,,14,2,TURNOVR by Charles Mitchell,1,2,18
NOTRE DAME,GEORGIA TECH,MISSED 3 PTR by Matt Ryan,57,2,,1,2,17
NOTRE DAME,GEORGIA TECH,REBOUND (OFF) by Zach Auguste,57,2,,1,2,17
NOTRE DAME,GEORGIA TECH,,53,2,FOUL by James White (P2T2),1,2,17
NOTRE DAME,GEORGIA TECH,,53,2,SUB IN : Nick Jacobs,1,2,17
NOTRE DAME,GEORGIA TECH,,53,2,SUB OUT: James White,1,2,17
NOTRE DAME,GEORGIA TECH,MISSED JUMPER by Steve Vasturia,48,2,REBOUND (DEF) by Charles Mitchell,1,2,17
NOTRE DAME,GEORGIA TECH,REBOUND (DEF) by Demetrius Jackson,37,2,MISSED 3 PTR by Adam Smith,1,2,17
NOTRE DAME,GEORGIA TECH,GOOD! DUNK by Zach Auguste [PNT],25,4,,1,2,17
NOTRE DAME,GEORGIA TECH,ASSIST by Demetrius Jackson,25,4,,1,2,17
NOTRE DAME,GEORGIA TECH,,0,4,MISSED JUMPER by Nick Jacobs,1,2,17
NOTRE DAME,GEORGIA TECH,,0,4,REBOUND (OFF) by Charles Mitchell,1,2,17
NOTRE DAME,GEORGIA TECH,,58,4,GOOD! TIP-IN by Charles Mitchell [PNT],1,4,16
NOTRE DAME,GEORGIA TECH,GOOD! 3 PTR by Matt Ryan,41,7,,1,4,16
NOTRE DAME,GEORGIA TECH,REBOUND (DEF) by Demetrius Jackson,24,7,MISSED JUMPER by Quinton Stephens,1,4,16
NOTRE DAME,GEORGIA TECH,MISSED 3 PTR by Demetrius Jackson,9,7,REBOUND (DEF) by Charles Mitchell,1,4,16
NOTRE DAME,GEORGIA TECH,REBOUND (DEF) by Matt Ryan,56,7,MISSED LAYUP by Marcus Georges-Hunt,1,4,15
NOTRE DAME,GEORGIA TECH,GOOD! LAYUP by Steve Vasturia [PNT],50,9,,1,4,15
NOTRE DAME,GEORGIA TECH,ASSIST by Matt Ryan,50,9,,1,4,15
NOTRE DAME,GEORGIA TECH,,39,9,TIMEOUT media,1,4,15
NOTRE DAME,GEORGIA TECH,,39,9,SUB IN : Josh Heath,1,4,15
NOTRE DAME,GEORGIA TECH,,39,9,SUB IN : Ben Lammers,1,4,15
NOTRE DAME,GEORGIA TECH,,39,9,SUB OUT: Marcus Georges-Hunt,1,4,15
NOTRE DAME,GEORGIA TECH,,39,9,SUB OUT: Charles Mitchell,1,4,15
NOTRE DAME,GEORGIA TECH,,27,9,MISSED JUMPER by Josh Heath,1,4,15
NOTRE DAME,GEORGIA TECH,,27,9,REBOUND (OFF) by Quinton Stephens,1,4,15
NOTRE DAME,GEORGIA TECH,,24,9,MISSED TIP-IN by Quinton Stephens,1,4,15
NOTRE DAME,GEORGIA TECH,,24,9,REBOUND (OFF) by Nick Jacobs,1,4,15
NOTRE DAME,GEORGIA TECH,,20,9,MISSED LAYUP by Nick Jacobs,1,4,15
NOTRE DAME,GEORGIA TECH,REBOUND (DEF) by Matt Ryan,19,9,,1,4,15
NOTRE DAME,GEORGIA TECH,MISSED LAYUP by Matt Ryan,5,9,BLOCK by Ben Lammers,1,4,15
NOTRE DAME,GEORGIA TECH,,5,9,REBOUND (DEF) by Adam Smith,1,4,15
NOTRE DAME,GEORGIA TECH,FOUL by V.J. Beachem (P1T1),5,9,GOOD! FT SHOT by Adam Smith,1,5,15
NOTRE DAME,GEORGIA TECH,,5,9,GOOD! FT SHOT by Adam Smith,1,6,15
NOTRE DAME,GEORGIA TECH,SUB IN : Bonzie Colson,5,9,,1,6,15
NOTRE DAME,GEORGIA TECH,SUB OUT: Zach Auguste,5,9,,1,6,15
NOTRE DAME,GEORGIA TECH,MISSED 3 PTR by Matt Ryan,57,9,REBOUND (DEF) by (TEAM),1,6,14
NOTRE DAME,GEORGIA TECH,REBOUND (DEF) by Demetrius Jackson,44,9,MISSED LAYUP by Nick Jacobs,1,6,14
NOTRE DAME,GEORGIA TECH,MISSED LAYUP by Bonzie Colson,24,9,REBOUND (DEF) by Nick Jacobs,1,6,14
NOTRE DAME,GEORGIA TECH,,15,9,MISSED JUMPER by Nick Jacobs,1,6,14
NOTRE DAME,GEORGIA TECH,,15,9,REBOUND (OFF) by Josh Heath,1,6,14
NOTRE DAME,GEORGIA TECH,REBOUND (DEF) by Demetrius Jackson,58,9,MISSED 3 PTR by Adam Smith,1,6,13
