home_team,away_team,home_play,second,home_score,away_play,half,away_score,minute
NOTRE DAME,ST. FRANCIS (PA),,27,0,MISSED JUMPER by Josh Nebo,1,0,19
NOTRE DAME,ST. FRANCIS (PA),,27,0,REBOUND (OFF) by Ben Millaud-Meunier,1,0,19
NOTRE DAME,ST. FRANCIS (PA),REBOUND (DEF) by Zach Auguste,25,0,MISSED JUMPER by Ben Millaud-Meunier,1,0,19
NOTRE DAME,ST. FRANCIS (PA),MISSED 3 PTR by Bonzie Colson,8,0,REBOUND (DEF) by Ben Millaud-Meunier,1,0,19
NOTRE DAME,ST. FRANCIS (PA),,48,0,GOOD! JUMPER by Greg Brown,1,2,18
NOTRE DAME,ST. FRANCIS (PA),GOOD! LAYUP by Zach Auguste [PNT],26,2,,1,2,18
NOTRE DAME,ST. FRANCIS (PA),REBOUND (DEF) by Zach Auguste,4,2,MISSED JUMPER by Ronnie Drinnon,1,2,18
NOTRE DAME,ST. FRANCIS (PA),MISSED 3 PTR by V.J. Beachem,55,2,,1,2,17
NOTRE DAME,ST. FRANCIS (PA),REBOUND (OFF) by Steve Vasturia,55,2,,1,2,17
NOTRE DAME,ST. FRANCIS (PA),TURNOVR by Steve Vasturia,51,2,,1,2,17
NOTRE DAME,ST. FRANCIS (PA),,50,2,STEAL by Ronnie Drinnon,1,2,17
NOTRE DAME,ST. FRANCIS (PA),,48,2,TURNOVR by Ronnie Drinnon,1,2,17
NOTRE DAME,ST. FRANCIS (PA),STEAL by V.J. Beachem,47,2,,1,2,17
NOTRE DAME,ST. FRANCIS (PA),MISSED 3 PTR by Steve Vasturia,43,2,,1,2,17
NOTRE DAME,ST. FRANCIS (PA),REBOUND (OFF) by V.J. Beachem,43,2,,1,2,17
NOTRE DAME,ST. FRANCIS (PA),TURNOVR by Zach Auguste,36,2,,1,2,17
NOTRE DAME,ST. FRANCIS (PA),,18,2,GOOD! JUMPER by Greg Brown,1,4,17
NOTRE DAME,ST. FRANCIS (PA),TURNOVR by Demetrius Jackson,54,2,STEAL by Greg Brown,1,4,16
NOTRE DAME,ST. FRANCIS (PA),FOUL by Bonzie Colson (P1T1),54,2,,1,4,16
NOTRE DAME,ST. FRANCIS (PA),REBOUND (DEF) by (TEAM),45,2,MISSED LAYUP by Josh Nebo,1,4,16
NOTRE DAME,ST. FRANCIS (PA),,23,2,FOUL by Josh Nebo (P1T1),1,4,16
NOTRE DAME,ST. FRANCIS (PA),GOOD! JUMPER by Demetrius Jackson,6,4,,1,4,16
NOTRE DAME,ST. FRANCIS (PA),REBOUND (DEF) by Zach Auguste,43,4,MISSED LAYUP by Ronnie Drinnon,1,4,15
NOTRE DAME,ST. FRANCIS (PA),GOOD! LAYUP by Demetrius Jackson [FB/PNT],38,6,,1,4,15
