home_team,away_team,home_play,second,home_score,away_play,half,away_score,minute
NOTRE DAME,STONY BROOK,MISSED JUMPER by Zach Auguste,33,0,REBOUND (DEF) by Ahmad Walker,1,0,19
NOTRE DAME,STONY BROOK,FOUL by Steve Vasturia (P1T1),32,0,MISSED FT SHOT by Ahmad Walker,1,0,19
NOTRE DAME,STONY BROOK,,32,0,REBOUND (OFF) by (DEADBALL),1,0,19
NOTRE DAME,STONY BROOK,,32,0,GOOD! FT SHOT by Ahmad Walker,1,1,19
NOTRE DAME,STONY BROOK,GOOD! JUMPER by Demetrius Jackson,4,2,,1,1,19
NOTRE DAME,STONY BROOK,REBOUND (DEF) by Demetrius Jackson,0,2,MISSED JUMPER by Jameel Warney,1,1,19
NOTRE DAME,STONY BROOK,MISSED LAYUP by Zach Auguste,25,2,,1,1,18
NOTRE DAME,STONY BROOK,REBOUND (OFF) by Zach Auguste,25,2,,1,1,18
NOTRE DAME,STONY BROOK,,21,2,FOUL by Ahmad Walker (P1T1),1,1,18
NOTRE DAME,STONY BROOK,GOOD! LAYUP by Bonzie Colson [PNT],19,4,,1,1,18
NOTRE DAME,STONY BROOK,ASSIST by Demetrius Jackson,19,4,,1,1,18
NOTRE DAME,STONY BROOK,,19,4,GOOD! 3 PTR by Bryan Sekunda,1,4,18
NOTRE DAME,STONY BROOK,,19,4,ASSIST by Carson Puriefoy,1,4,18
NOTRE DAME,STONY BROOK,GOOD! 3 PTR by Demetrius Jackson,5,7,,1,4,18
NOTRE DAME,STONY BROOK,ASSIST by Zach Auguste,5,7,,1,4,18
NOTRE DAME,STONY BROOK,FOUL by Demetrius Jackson (P1T2),55,7,,1,4,17
NOTRE DAME,STONY BROOK,REBOUND (DEF) by Bonzie Colson,40,7,MISSED JUMPER by Jameel Warney,1,4,17
NOTRE DAME,STONY BROOK,GOOD! LAYUP by Bonzie Colson [PNT],13,9,,1,4,17
NOTRE DAME,STONY BROOK,ASSIST by Zach Auguste,13,9,,1,4,17
NOTRE DAME,STONY BROOK,ASSIST by Demetrius Jackson,58,9,,1,4,16
NOTRE DAME,STONY BROOK,REBOUND (DEF) by V.J. Beachem,47,9,MISSED 3 PTR by Carson Puriefoy,1,4,16
NOTRE DAME,STONY BROOK,GOOD! JUMPER by Zach Auguste,47,11,,1,4,16
NOTRE DAME,STONY BROOK,REBOUND (DEF) by Zach Auguste,28,11,MISSED LAYUP by Rayshaun McGrew,1,4,16
NOTRE DAME,STONY BROOK,GOOD! LAYUP by Steve Vasturia [PNT],13,13,,1,4,16
NOTRE DAME,STONY BROOK,,6,13,TIMEOUT 30sec,1,4,16
NOTRE DAME,STONY BROOK,,53,13,GOOD! LAYUP by Carson Puriefoy [PNT],1,6,15
NOTRE DAME,STONY BROOK,TURNOVR by Bonzie Colson,44,13,,1,6,15
NOTRE DAME,STONY BROOK,,30,13,TURNOVR by Bryan Sekunda,1,6,15
NOTRE DAME,STONY BROOK,GOOD! 3 PTR by V.J. Beachem,15,16,,1,6,15
NOTRE DAME,STONY BROOK,ASSIST by Demetrius Jackson,15,16,,1,6,15
NOTRE DAME,STONY BROOK,,0,16,MISSED JUMPER by Jameel Warney,1,6,15
NOTRE DAME,STONY BROOK,,0,16,REBOUND (OFF) by Rayshaun McGrew,1,6,15
NOTRE DAME,STONY BROOK,,56,16,GOOD! LAYUP by Rayshaun McGrew [PNT],1,8,14
NOTRE DAME,STONY BROOK,MISSED LAYUP by Bonzie Colson,37,16,BLOCK by Rayshaun McGrew,1,8,14
NOTRE DAME,STONY BROOK,,35,16,REBOUND (DEF) by Carson Puriefoy,1,8,14
NOTRE DAME,STONY BROOK,,29,16,GOOD! 3 PTR by Bryan Sekunda,1,11,14
NOTRE DAME,STONY BROOK,GOOD! LAYUP by Demetrius Jackson [PNT],7,18,,1,11,14
NOTRE DAME,STONY BROOK,ASSIST by Steve Vasturia,7,18,,1,11,14
NOTRE DAME,STONY BROOK,,54,18,MISSED JUMPER by Rayshaun McGrew,1,11,13
NOTRE DAME,STONY BROOK,,54,18,REBOUND (OFF) by Jameel Warney,1,11,13
NOTRE DAME,STONY BROOK,,50,18,GOOD! LAYUP by Jameel Warney [PNT],1,13,13
NOTRE DAME,STONY BROOK,GOOD! DUNK by Zach Auguste [PNT],27,20,,1,13,13
NOTRE DAME,STONY BROOK,REBOUND (DEF) by Bonzie Colson,11,20,MISSED 3 PTR by Bryan Sekunda,1,13,13
NOTRE DAME,STONY BROOK,GOOD! LAYUP by Zach Auguste [PNT],54,22,,1,13,12
NOTRE DAME,STONY BROOK,ASSIST by Bonzie Colson,54,22,,1,13,12
NOTRE DAME,STONY BROOK,,41,22,TURNOVR by Ahmad Walker,1,13,12
NOTRE DAME,STONY BROOK,SUB IN : Matt Farrell,41,22,SUB IN : Lucas Woodhouse,1,13,12
NOTRE DAME,STONY BROOK,SUB IN : Austin Torres,41,22,SUB IN : Tyrell Sturdivant,1,13,12
NOTRE DAME,STONY BROOK,SUB OUT: Zach Auguste,41,22,SUB OUT: Rayshaun McGrew,1,13,12
NOTRE DAME,STONY BROOK,SUB OUT: Bonzie Colson,41,22,SUB OUT: Ahmad Walker,1,13,12
NOTRE DAME,STONY BROOK,MISSED JUMPER by V.J. Beachem,26,22,REBOUND (DEF) by Lucas Woodhouse,1,13,12
NOTRE DAME,STONY BROOK,REBOUND (DEF) by Austin Torres,12,22,MISSED 3 PTR by Carson Puriefoy,1,13,12
NOTRE DAME,STONY BROOK,GOOD! LAYUP by Austin Torres [PNT],4,24,,1,13,12
NOTRE DAME,STONY BROOK,ASSIST by Demetrius Jackson,4,24,,1,13,12
NOTRE DAME,STONY BROOK,,34,24,GOOD! 3 PTR by Carson Puriefoy,1,16,11
NOTRE DAME,STONY BROOK,MISSED 3 PTR by Steve Vasturia,3,24,REBOUND (DEF) by Jameel Warney,1,16,11
NOTRE DAME,STONY BROOK,REBOUND (DEF) by V.J. Beachem,46,24,MISSED 3 PTR by Lucas Woodhouse,1,16,10
NOTRE DAME,STONY BROOK,MISSED LAYUP by Austin Torres,33,24,REBOUND (DEF) by Tyrell Sturdivant,1,16,10
NOTRE DAME,STONY BROOK,REBOUND (DEF) by Demetrius Jackson,20,24,MISSED JUMPER by Jameel Warney,1,16,10
NOTRE DAME,STONY BROOK,MISSED 3 PTR by Demetrius Jackson,3,24,,1,16,10
NOTRE DAME,STONY BROOK,REBOUND (OFF) by Austin Torres,3,24,,1,16,10
NOTRE DAME,STONY BROOK,,1,24,FOUL by Jameel Warney (P1T2),1,16,10
NOTRE DAME,STONY BROOK,TIMEOUT MEDIA,1,24,,1,16,10
NOTRE DAME,STONY BROOK,SUB IN : Zach Auguste,1,24,SUB IN : DeShaun Thrower,1,16,10
NOTRE DAME,STONY BROOK,SUB IN : Matt Ryan,1,24,SUB IN : Roland Nyama,1,16,10
NOTRE DAME,STONY BROOK,SUB OUT: Austin Torres,1,24,SUB OUT: Jameel Warney,1,16,10
NOTRE DAME,STONY BROOK,SUB OUT: V.J. Beachem,1,24,SUB OUT: Bryan Sekunda,1,16,10
NOTRE DAME,STONY BROOK,,45,24,FOUL by Roland Nyama (P1T3),1,16,9
NOTRE DAME,STONY BROOK,MISSED JUMPER by Matt Farrell,26,24,,1,16,9
NOTRE DAME,STONY BROOK,REBOUND (OFF) by Matt Farrell,26,24,,1,16,9
NOTRE DAME,STONY BROOK,GOOD! JUMPER by Demetrius Jackson,2,26,,1,16,9
NOTRE DAME,STONY BROOK,,41,26,GOOD! 3 PTR by Carson Puriefoy,1,19,8
NOTRE DAME,STONY BROOK,,41,26,ASSIST by DeShaun Thrower,1,19,8
NOTRE DAME,STONY BROOK,MISSED JUMPER by Zach Auguste,20,26,REBOUND (DEF) by Lucas Woodhouse,1,19,8
NOTRE DAME,STONY BROOK,,10,26,GOOD! 3 PTR by Carson Puriefoy,1,22,8
NOTRE DAME,STONY BROOK,TURNOVR by Demetrius Jackson,53,26,,1,22,7
NOTRE DAME,STONY BROOK,,51,26,STEAL by Tyrell Sturdivant,1,22,7
NOTRE DAME,STONY BROOK,FOUL by Matt Farrell (P1T3),49,26,,1,22,7
NOTRE DAME,STONY BROOK,,49,26,TIMEOUT MEDIA,1,22,7
NOTRE DAME,STONY BROOK,,49,26,GOOD! FT SHOT by Carson Puriefoy,1,23,7
NOTRE DAME,STONY BROOK,,49,26,GOOD! FT SHOT by Carson Puriefoy,1,24,7
NOTRE DAME,STONY BROOK,SUB IN : V.J. Beachem,49,26,SUB IN : Ahmad Walker,1,24,7
NOTRE DAME,STONY BROOK,SUB IN : Bonzie Colson,49,26,SUB IN : Rayshaun McGrew,1,24,7
NOTRE DAME,STONY BROOK,SUB OUT: Demetrius Jackson,49,26,SUB IN : Jameel Warney,1,24,7
NOTRE DAME,STONY BROOK,SUB OUT: Matt Ryan,49,26,SUB OUT: Roland Nyama,1,24,7
NOTRE DAME,STONY BROOK,,49,26,SUB OUT: Lucas Woodhouse,1,24,7
NOTRE DAME,STONY BROOK,,49,26,SUB OUT: Tyrell Sturdivant,1,24,7
NOTRE DAME,STONY BROOK,FOUL by Bonzie Colson (P1T4),36,26,,1,24,7
NOTRE DAME,STONY BROOK,TURNOVR by Bonzie Colson,36,26,,1,24,7
NOTRE DAME,STONY BROOK,FOUL by Matt Farrell (P2T5),21,26,MISSED FT SHOT by Jameel Warney,1,24,7
NOTRE DAME,STONY BROOK,,21,26,REBOUND (OFF) by (DEADBALL),1,24,7
NOTRE DAME,STONY BROOK,,21,26,GOOD! FT SHOT by Jameel Warney,1,25,7
NOTRE DAME,STONY BROOK,SUB IN : Demetrius Jackson,21,26,,1,25,7
NOTRE DAME,STONY BROOK,SUB OUT: Matt Farrell,21,26,,1,25,7
NOTRE DAME,STONY BROOK,GOOD! LAYUP by Zach Auguste [PNT],1,28,,1,25,7
NOTRE DAME,STONY BROOK,REBOUND (DEF) by Demetrius Jackson,45,28,MISSED 3 PTR by DeShaun Thrower,1,25,6
NOTRE DAME,STONY BROOK,GOOD! 3 PTR by V.J. Beachem,24,31,,1,25,6
NOTRE DAME,STONY BROOK,ASSIST by Bonzie Colson,24,31,,1,25,6
NOTRE DAME,STONY BROOK,,3,31,GOOD! LAYUP by Rayshaun McGrew [PNT],1,27,6
NOTRE DAME,STONY BROOK,,3,31,ASSIST by Ahmad Walker,1,27,6
NOTRE DAME,STONY BROOK,GOOD! JUMPER by Steve Vasturia [PNT],43,33,,1,27,5
NOTRE DAME,STONY BROOK,REBOUND (DEF) by (TEAM),30,33,MISSED 3 PTR by Ahmad Walker,1,27,5
NOTRE DAME,STONY BROOK,,28,33,SUB IN : Lucas Woodhouse,1,27,5
NOTRE DAME,STONY BROOK,,28,33,SUB IN : Bryan Sekunda,1,27,5
NOTRE DAME,STONY BROOK,,28,33,SUB OUT: DeShaun Thrower,1,27,5
NOTRE DAME,STONY BROOK,,28,33,SUB OUT: Carson Puriefoy,1,27,5
NOTRE DAME,STONY BROOK,GOOD! LAYUP by Zach Auguste [PNT],3,35,,1,27,5
NOTRE DAME,STONY BROOK,ASSIST by Demetrius Jackson,3,35,,1,27,5
NOTRE DAME,STONY BROOK,,48,35,TURNOVR by Jameel Warney,1,27,4
NOTRE DAME,STONY BROOK,STEAL by Bonzie Colson,47,35,,1,27,4
NOTRE DAME,STONY BROOK,GOOD! FT SHOT by Bonzie Colson,45,36,FOUL by Rayshaun McGrew (P1T4),1,27,4
NOTRE DAME,STONY BROOK,GOOD! FT SHOT by Bonzie Colson,45,37,,1,27,4
NOTRE DAME,STONY BROOK,,34,37,GOOD! JUMPER by Rayshaun McGrew,1,29,4
NOTRE DAME,STONY BROOK,,34,37,ASSIST by Ahmad Walker,1,29,4
NOTRE DAME,STONY BROOK,MISSED 3 PTR by V.J. Beachem,7,37,REBOUND (DEF) by Rayshaun McGrew,1,29,4
NOTRE DAME,STONY BROOK,FOUL by Steve Vasturia (P2T6),1,37,MISSED FT SHOT by Rayshaun McGrew,1,29,4
NOTRE DAME,STONY BROOK,,1,37,REBOUND (OFF) by (DEADBALL),1,29,4
NOTRE DAME,STONY BROOK,REBOUND (DEF) by Bonzie Colson,1,37,MISSED FT SHOT by Rayshaun McGrew,1,29,4
NOTRE DAME,STONY BROOK,SUB IN : Matt Ryan,1,37,SUB IN : Carson Puriefoy,1,29,4
NOTRE DAME,STONY BROOK,SUB IN : Matt Farrell,1,37,SUB OUT: Ahmad Walker,1,29,4
NOTRE DAME,STONY BROOK,SUB OUT: Steve Vasturia,1,37,,1,29,4
NOTRE DAME,STONY BROOK,SUB OUT: Zach Auguste,1,37,,1,29,4
NOTRE DAME,STONY BROOK,TURNOVR by Demetrius Jackson,42,37,,1,29,3
NOTRE DAME,STONY BROOK,,42,37,TIMEOUT MEDIA,1,29,3
NOTRE DAME,STONY BROOK,,42,37,SUB IN : Roland Nyama,1,29,3
NOTRE DAME,STONY BROOK,,42,37,SUB OUT: Rayshaun McGrew,1,29,3
NOTRE DAME,STONY BROOK,FOUL by Matt Ryan (P1T7),27,37,MISSED FT SHOT by Roland Nyama,1,29,3
NOTRE DAME,STONY BROOK,,27,37,REBOUND (OFF) by (DEADBALL),1,29,3
NOTRE DAME,STONY BROOK,,27,37,GOOD! FT SHOT by Roland Nyama,1,30,3
NOTRE DAME,STONY BROOK,SUB IN : Zach Auguste,27,37,,1,30,3
NOTRE DAME,STONY BROOK,SUB OUT: Bonzie Colson,27,37,,1,30,3
NOTRE DAME,STONY BROOK,MISSED LAYUP by V.J. Beachem,6,37,REBOUND (DEF) by Bryan Sekunda,1,30,3
NOTRE DAME,STONY BROOK,REBOUND (DEF) by Zach Auguste,56,37,MISSED JUMPER by Jameel Warney,1,30,2
NOTRE DAME,STONY BROOK,MISSED LAYUP by V.J. Beachem,36,37,,1,30,2
NOTRE DAME,STONY BROOK,REBOUND (OFF) by V.J. Beachem,36,37,,1,30,2
NOTRE DAME,STONY BROOK,MISSED LAYUP by V.J. Beachem,33,37,BLOCK by Jameel Warney,1,30,2
NOTRE DAME,STONY BROOK,REBOUND (OFF) by (TEAM),33,37,,1,30,2
NOTRE DAME,STONY BROOK,TIMEOUT 30sec,31,37,,1,30,2
NOTRE DAME,STONY BROOK,SUB IN : Steve Vasturia,31,37,SUB IN : Ahmad Walker,1,30,2
NOTRE DAME,STONY BROOK,SUB OUT: Matt Farrell,31,37,SUB OUT: Lucas Woodhouse,1,30,2
NOTRE DAME,STONY BROOK,MISSED FT SHOT by Zach Auguste,24,37,FOUL by Carson Puriefoy (P1T5),1,30,2
NOTRE DAME,STONY BROOK,REBOUND (OFF) by (DEADBALL),24,37,,1,30,2
NOTRE DAME,STONY BROOK,GOOD! FT SHOT by Zach Auguste,24,38,,1,30,2
NOTRE DAME,STONY BROOK,SUB IN : Matt Farrell,24,38,,1,30,2
NOTRE DAME,STONY BROOK,SUB OUT: Steve Vasturia,24,38,,1,30,2
NOTRE DAME,STONY BROOK,,11,38,FOUL by Ahmad Walker (P2T6),1,30,2
NOTRE DAME,STONY BROOK,,11,38,TURNOVR by Ahmad Walker,1,30,2
NOTRE DAME,STONY BROOK,SUB IN : Steve Vasturia,11,38,SUB IN : DeShaun Thrower,1,30,2
NOTRE DAME,STONY BROOK,SUB OUT: Matt Farrell,11,38,SUB OUT: Ahmad Walker,1,30,2
NOTRE DAME,STONY BROOK,MISSED JUMPER by Steve Vasturia,58,38,REBOUND (DEF) by DeShaun Thrower,1,30,1
NOTRE DAME,STONY BROOK,BLOCK by Zach Auguste,43,38,MISSED LAYUP by Carson Puriefoy,1,30,1
NOTRE DAME,STONY BROOK,,43,38,REBOUND (OFF) by (TEAM),1,30,1
NOTRE DAME,STONY BROOK,SUB IN : Matt Farrell,42,38,,1,30,1
NOTRE DAME,STONY BROOK,SUB OUT: Steve Vasturia,42,38,,1,30,1
NOTRE DAME,STONY BROOK,REBOUND (DEF) by Zach Auguste,31,38,MISSED LAYUP by Roland Nyama,1,30,1
NOTRE DAME,STONY BROOK,MISSED LAYUP by Matt Farrell,23,38,BLOCK by Jameel Warney,1,30,1
NOTRE DAME,STONY BROOK,REBOUND (OFF) by (TEAM),23,38,,1,30,1
NOTRE DAME,STONY BROOK,SUB IN : Steve Vasturia,23,38,SUB IN : Rayshaun McGrew,1,30,1
NOTRE DAME,STONY BROOK,SUB OUT: Matt Farrell,23,38,SUB OUT: Roland Nyama,1,30,1
NOTRE DAME,STONY BROOK,MISSED 3 PTR by V.J. Beachem,22,38,REBOUND (DEF) by Jameel Warney,1,30,1
NOTRE DAME,STONY BROOK,,5,38,GOOD! JUMPER by Rayshaun McGrew [PNT],1,32,1
NOTRE DAME,STONY BROOK,GOOD! JUMPER by Demetrius Jackson [PNT],33,40,,1,32,0
NOTRE DAME,STONY BROOK,REBOUND (DEF) by Zach Auguste,6,40,MISSED 3 PTR by Carson Puriefoy,1,32,0
NOTRE DAME,STONY BROOK,TURNOVR by Zach Auguste,0,40,STEAL by Rayshaun McGrew,1,32,0
